Sample	nreads	median_genes	median_umi	File	Kit	Individual	Replicate	Sensitivity
Parse_v3_F5B	0	0	0	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	24729	1855	3661	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	16483	1588	2886	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	19233	1690	3172	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	27408.8548	1870.5	3716.5	B2-PA-F5B	Parse_v3	F5	B	NA
Scale_F1A	2500	725	884	F5A	Scale	F1	A	NA
Scale_F1A	1000	369	402	F5A	Scale	F1	A	NA
Scale_F1A	15000	1744	2806	F5A	Scale	F1	A	NA
Scale_F1A	5000	1110	1511	F5A	Scale	F1	A	NA
Scale_F1A	22500	1936	3259	F5A	Scale	F1	A	NA
Scale_F1A	25000	1979	3364	F5A	Scale	F1	A	NA
Scale_F1A	17500	1822	2986	F5A	Scale	F1	A	NA
Scale_F1A	20000	1884	3135	F5A	Scale	F1	A	NA
Scale_F1A	7500	1353	1968	F5A	Scale	F1	A	NA
Scale_F1A	10000	1525	2321	F5A	Scale	F1	A	NA
Scale_F1A	12500	1648	2589	F5A	Scale	F1	A	NA
Scale_F1A	0	0	0	F5A	Scale	F1	A	NA
Scale_F1B	1000	454	513	F1B	Scale	F1	B	NA
Scale_F1B	7500	1469	2226	F1B	Scale	F1	B	NA
Scale_F1B	10000	1613	2539	F1B	Scale	F1	B	NA
Scale_F1B	15000	1792	2945	F1B	Scale	F1	B	NA
Scale_F1B	17500	1851	3083	F1B	Scale	F1	B	NA
Scale_F1B	0	0	0	F1B	Scale	F1	B	NA
Scale_F1B	12500	1716	2769	F1B	Scale	F1	B	NA
Scale_F1B	25000	1971	3362	F1B	Scale	F1	B	NA
Scale_F1B	5000	1247	1783	F1B	Scale	F1	B	NA
Scale_F1B	20000	1898	3196	F1B	Scale	F1	B	NA
Scale_F1B	2500	862	1106	F1B	Scale	F1	B	NA
Scale_F1B	22500	1938	3288	F1B	Scale	F1	B	NA
Scale_F5A	5000	1417	2141	F1A	Scale	F5	A	NA
Scale_F5A	7500	1694	2770	F1A	Scale	F5	A	NA
Scale_F5A	12500	2014	3594	F1A	Scale	F5	A	NA
Scale_F5A	15000	2116	3877	F1A	Scale	F5	A	NA
Scale_F5A	17500	2196	4102	F1A	Scale	F5	A	NA
Scale_F5A	10000	1880	3237	F1A	Scale	F5	A	NA
Scale_F5A	22500	2314	4444	F1A	Scale	F5	A	NA
Scale_F5A	25000	2359	4576	F1A	Scale	F5	A	NA
Scale_F5A	20000	2261	4287	F1A	Scale	F5	A	NA
